l,T,S,
1.7, 4.4,0, 
1.7, 4.5,0, 
1.7, 4.6,0, 
1.7, 4.7,0, 
1.7, 4.8,0, 
1.7, 4.9,0, 
1.7, 5,0, 
1.8, 0.1,0.12516, 
1.8, 0.2,0.159753, 
1.8, 0.3,0, 
1.8, 0.4,0.116514, 
1.8, 0.5,0.0727718, 
1.8, 0.6,0.171303, 
1.8, 0.7,0.0989499, 
1.8, 0.8,0, 
1.8, 0.9,0.106385, 
1.8, 1,0, 
1.8, 1.1,0, 
1.8, 1.2,0, 
1.8, 1.3,0, 
1.8, 1.4,0, 
1.8, 1.5,0, 
1.8, 1.6,0, 
1.8, 1.7,0, 
1.8, 1.8,0, 
1.8, 1.9,0, 
1.8, 2,0, 
1.8, 2.1,0, 
1.8, 2.2,0, 
1.8, 2.3,0, 
1.8, 2.4,0, 
1.8, 2.5,0, 
1.8, 2.6,0, 
1.8, 2.7,0, 
1.8, 2.8,0, 
1.8, 2.9,0, 
1.8, 3,0, 
1.8, 3.1,0, 
1.8, 3.2,0, 
1.8, 3.3,0, 
1.8, 3.4,0, 
1.8, 3.5,0, 
1.8, 3.6,0, 
1.8, 3.7,0, 
1.8, 3.8,0, 
1.8, 3.9,0, 
1.8, 4,0, 
1.8, 4.1,0, 
1.8, 4.2,0, 
1.8, 4.3,0, 
1.8, 4.4,0, 
1.8, 4.5,0, 
1.8, 4.6,0, 
1.8, 4.7,0, 
1.8, 4.8,0, 
1.8, 4.9,0, 
1.8, 5,0, 
1.9, 0.1,0.133291, 
1.9, 0.2,0.0924889, 
1.9, 0.3,0.100364, 
1.9, 0.4,0.0715979, 
1.9, 0.5,0, 
1.9, 0.6,0.090508, 
1.9, 0.7,0, 
1.9, 0.8,0, 
1.9, 0.9,0.111198, 
1.9, 1,0, 
1.9, 1.1,0, 
1.9, 1.2,0.121597, 
1.9, 1.3,0, 
1.9, 1.4,0, 
1.9, 1.5,0, 
1.9, 1.6,0, 
1.9, 1.7,0, 
1.9, 1.8,0, 
1.9, 1.9,0, 
1.9, 2,0, 
1.9, 2.1,0, 
1.9, 2.2,0, 
1.9, 2.3,0, 
1.9, 2.4,0, 
1.9, 2.5,0, 
1.9, 2.6,0, 
1.9, 2.7,0, 
1.9, 2.8,0, 
1.9, 2.9,0, 
1.9, 3,0, 
1.9, 3.1,0, 
1.9, 3.2,0, 
1.9, 3.3,0, 
1.9, 3.4,0, 
1.9, 3.5,0, 
1.9, 3.6,0, 
1.9, 3.7,0, 
1.9, 3.8,0, 
1.9, 3.9,0, 
1.9, 4,0, 
1.9, 4.1,0, 
1.9, 4.2,0, 
1.9, 4.3,0, 
1.9, 4.4,0, 
1.9, 4.5,0, 
1.9, 4.6,0, 
1.9, 4.7,0, 
1.9, 4.8,0, 
1.9, 4.9,0, 
1.9, 5,0, 
2, 0.1,0.07368, 
2, 0.2,0.19487, 
2, 0.3,0.0581564, 
2, 0.4,0.0571901, 
2, 0.5,0.14248, 
2, 0.6,0, 
2, 0.7,0, 
2, 0.8,0, 
2, 0.9,0.115223, 
2, 1,0, 
2, 1.1,0.102221, 
2, 1.2,0, 
2, 1.3,0, 
2, 1.4,0, 
2, 1.5,0, 
2, 1.6,0, 
2, 1.7,0, 
2, 1.8,0, 
2, 1.9,0, 
2, 2,0, 
2, 2.1,0, 
2, 2.2,0, 
2, 2.3,0, 
2, 2.4,0, 
2, 2.5,0, 
2, 2.6,0, 
2, 2.7,0, 
2, 2.8,0, 
2, 2.9,0, 
2, 3,0, 
2, 3.1,0, 
2, 3.2,0, 
2, 3.3,0, 
2, 3.4,0, 
2, 3.5,0, 
2, 3.6,0, 
2, 3.7,0, 
2, 3.8,0, 
2, 3.9,0, 
2, 4,0, 
2, 4.1,0, 
2, 4.2,0, 
2, 4.3,0, 
2, 4.4,0, 
2, 4.5,0, 
2, 4.6,0, 
2, 4.7,0, 
2, 4.8,0, 
2, 4.9,0, 
2, 5,0, 
2.1, 0.1,0.110366, 
2.1, 0.2,0.0450379, 
2.1, 0.3,0.114441, 
