l,T,S,
1.2, 0.5,0.111092, 
1.2, 0.6,0.0585217, 
1.2, 0.7,0, 
1.2, 0.8,0.0573064, 
1.2, 0.9,0, 
1.2, 1,0.0955004, 
1.2, 1.1,0.0728605, 
1.2, 1.2,0.0880634, 
1.2, 1.3,0.09382, 
1.2, 1.4,0.0949499, 
1.2, 1.5,0, 
1.2, 1.6,0, 
1.2, 1.7,0, 
1.2, 1.8,0.098276, 
1.2, 1.9,0, 
1.2, 2,0, 
1.2, 2.1,0, 
1.2, 2.2,0, 
1.2, 2.3,0, 
1.2, 2.4,0, 
1.2, 2.5,0, 
1.2, 2.6,0, 
1.2, 2.7,0, 
1.2, 2.8,0.160014, 
1.2, 2.9,0, 
1.2, 3,0, 
1.2, 3.1,0, 
1.2, 3.2,0, 
1.2, 3.3,0, 
1.2, 3.4,0, 
1.2, 3.5,0, 
1.2, 3.6,0, 
1.2, 3.7,0, 
1.2, 3.8,0, 
1.2, 3.9,0, 
1.2, 4,0, 
1.2, 4.1,0, 
1.2, 4.2,0, 
1.2, 4.3,0, 
1.2, 4.4,0, 
1.2, 4.5,0, 
1.2, 4.6,0, 
1.2, 4.7,0, 
1.2, 4.8,0, 
1.2, 4.9,0, 
1.2, 5,0, 
1.3, 0.1,0.084135, 
1.3, 0.2,0.120174, 
1.3, 0.3,0.0931676, 
1.3, 0.4,0.0575055, 
1.3, 0.5,0.266413, 
1.3, 0.6,0.0740402, 
1.3, 0.7,0.135318, 
1.3, 0.8,0, 
1.3, 0.9,0, 
1.3, 1,0.0895961, 
1.3, 1.1,0, 
1.3, 1.2,0.103241, 
1.3, 1.3,0.111516, 
1.3, 1.4,0.113775, 
1.3, 1.5,0, 
1.3, 1.6,0, 
1.3, 1.7,0, 
1.3, 1.8,0, 
1.3, 1.9,0, 
1.3, 2,0, 
1.3, 2.1,0, 
1.3, 2.2,0, 
1.3, 2.3,0, 
1.3, 2.4,0, 
1.3, 2.5,0, 
1.3, 2.6,0, 
1.3, 2.7,0, 
1.3, 2.8,0, 
1.3, 2.9,0, 
1.3, 3,0, 
1.3, 3.1,0, 
1.3, 3.2,0, 
1.3, 3.3,0, 
1.3, 3.4,0, 
1.3, 3.5,0, 
1.3, 3.6,0, 
1.3, 3.7,0, 
1.3, 3.8,0, 
1.3, 3.9,0, 
1.3, 4,0, 
1.3, 4.1,0, 
1.3, 4.2,0, 
1.3, 4.3,0, 
1.3, 4.4,0, 
1.3, 4.5,0, 
1.3, 4.6,0, 
1.3, 4.7,0, 
1.3, 4.8,0, 
1.3, 4.9,0, 
1.3, 5,0, 
1.4, 0.1,0.190776, 
1.4, 0.2,0.076981, 
1.4, 0.3,0.0939975, 
1.4, 0.4,0.0970686, 
1.4, 0.5,0.0565601, 
1.4, 0.6,0, 
1.4, 0.7,0, 
1.4, 0.8,0.0971909, 
1.4, 0.9,0.166521, 
1.4, 1,0, 
1.4, 1.1,0, 
1.4, 1.2,0, 
1.4, 1.3,0, 
1.4, 1.4,0.119208, 
1.4, 1.5,0.127229, 
1.4, 1.6,0, 
1.4, 1.7,0, 
1.4, 1.8,0, 
1.4, 1.9,0, 
1.4, 2,0, 
1.4, 2.1,0, 
1.4, 2.2,0, 
